time,gaze_target,left.pupil_diameter_mm,right.pupil_diameter_mm
6.496,SM_Blackboard_Tafel_unten_low_101,3.167709,3.30571
6.528,SM_Blackboard_Tafel_unten_low_101,3.37793,3.371414
6.561,SM_Blackboard_Tafel_unten_low_101,3.196014,3.299835
6.593999999999999,SM_Blackboard_Tafel_unten_low_101,3.336319,3.3167720000000003
6.627999999999999,SM_Blackboard_Tafel_unten_low_101,3.119171,3.323364
6.6610000000000005,SM_Blackboard_Tafel_unten_low_101,3.376953,3.3245089999999995
6.695,SM_Blackboard_Tafel_unten_low_101,3.351151,3.316727
6.728,SM_Blackboard_Tafel_unten_low_101,3.359238,3.3108980000000003
6.761,SM_Blackboard_Tafel_unten_low_101,3.3754120000000003,3.307785
6.794,SM_Blackboard_Tafel_unten_low_101,3.431824,3.313965
6.827000000000001,SM_Blackboard_Tafel_unten_low_101,3.478333,3.3195339999999995
6.86,SM_Blackboard_Tafel_unten_low_101,3.593842,3.57637
6.894,SM_Blackboard_Tafel_unten_low_101,3.5993800000000005,3.622482
6.928,SM_Blackboard_Tafel_unten_low_101,3.626907,3.506134
6.961,SM_Blackboard_Tafel_unten_low_101,3.639938,3.578781
6.994,SM_Blackboard_Tafel_unten_low_101,3.654907,3.561157
7.028,SM_Blackboard_Tafel_unten_low_101,3.656708,3.550446
7.061,SM_Blackboard_Tafel_unten_low_101,3.655518,3.5393830000000004
7.093999999999999,SM_Blackboard_Tafel_unten_low_101,3.42749,3.4000550000000005
7.127000000000001,Screen_95,3.459839,3.360718
7.16,CartoonTeacher,3.406296,3.355179
7.194,CartoonTeacher,3.408554,3.319168
7.216,CartoonTeacher,3.41597,3.319946
7.237999999999999,CartoonTeacher,3.406189,3.320038
7.261,CartoonTeacher,3.419113,3.343399
7.282999999999999,CartoonTeacher,3.4033050000000005,3.363235
7.305,CartoonTeacher,3.405609,3.3764800000000004
7.327000000000001,CartoonTeacher,3.4064940000000004,3.383514
7.35,CartoonTeacher,3.409729,3.3906400000000003
7.372000000000001,CartoonTeacher,3.4034120000000003,3.3857730000000004
7.395,CartoonTeacher,3.390884,3.3923650000000003
7.417000000000001,CartoonTeacher,3.384399,3.375168
7.439,CartoonTeacher,3.3612519999999995,3.376526
7.462999999999999,CartoonTeacher,3.2705990000000003,3.344009
7.484,CartoonTeacher,3.3386690000000003,3.3309940000000005
7.505,CartoonTeacher,3.333801,3.323334
7.528,CartoonTeacher,3.320206,3.327896
7.551,CartoonTeacher,3.324036,3.331604
7.572999999999999,CartoonTeacher,3.3251800000000005,3.3248290000000003
7.595,CartoonTeacher,3.326889,3.322739
7.617999999999999,CartoonTeacher,3.322861,3.3409730000000004
7.638999999999999,CartoonTeacher,3.240173,3.3676760000000003
7.661,CartoonTeacher,3.3363339999999995,3.3343510000000003
7.683,CartoonTeacher,3.248962,3.278992
7.707000000000001,CartoonTeacher,3.263474,3.3096309999999995
7.729,CartoonTeacher,3.263123,3.2841339999999994
7.751,CartoonTeacher,3.242142,3.287506
7.772,CartoonTeacher,3.242111,3.281021
7.796,CartoonTeacher,3.239807,3.276199
7.818,CartoonTeacher,3.230499,3.2656560000000003
7.838999999999999,CartoonTeacher,3.225876,3.264954
7.862,CartoonTeacher,3.226089,3.265747
7.883999999999999,CartoonTeacher,3.235794,3.265335
7.906000000000001,CartoonTeacher,3.235992,3.266281
7.928,CartoonTeacher,3.299011,3.276352
7.951,CartoonTeacher,3.302689,3.284698
7.977,CartoonTeacher,3.3184660000000004,3.2885440000000004
8.0,CartoonTeacher,3.248917,3.2931980000000003
8.022,CartoonTeacher,3.400467,3.292282
