"","participant","time_point","trans_dur","Source","Target"
"320","001",67.381,0.0220000000000056,"FrontWall","SM_Blackboard_Tafel_unten_low_101"
"321","001",67.403,0.0210000000000008,"SM_Blackboard_Tafel_unten_low_101","SM_Blackboard_Schiene_low_99"
"322","001",67.424,0.0239999999999867,"SM_Blackboard_Schiene_low_99","leftwall_5"
"323","001",67.448,0.0230000000000103,"leftwall_5","leftwall"
"324","001",67.494,0.0229999999999961,"leftwall","window1"
"325","001",67.606,0.0210000000000008,"window1","leftwall"
"326","001",67.627,0.0240000000000009,"leftwall","window1"
"327","001",68.09,0.0229999999999961,"window1","S24_C"
"328","001",68.113,0.0210000000000008,"S24_C","leftwall_3"
"329","001",68.134,0.0229999999999961,"leftwall_3","S22_C"
"330","001",68.157,0.0220000000000056,"S22_C","leftwall_3"
"331","001",68.224,0.0210000000000008,"leftwall_3","S22_C"
"332","001",68.267,0.0230000000000103,"S22_C","leftwall_3"
"333","001",68.29,0.0239999999999867,"leftwall_3","S22_C"
"334","001",68.337,0.0229999999999961,"S22_C","S24_C"
"335","001",68.36,0.0240000000000009,"S24_C","leftwall_3"
"336","001",68.384,0.0229999999999961,"leftwall_3","window2"
"337","001",68.407,0.027000000000001,"window2","S34_C"
"338","001",68.711,0.0319999999999965,"S34_C","chair32"
"339","001",68.843,0.0339999999999918,"chair32","leftwall"
"340","001",68.944,0.0339999999999918,"leftwall","S34_C"
"341","001",68.978,0.0370000000000061,"S34_C","S43_C"
"342","001",69.015,0.0289999999999964,"S43_C","table42"
"343","001",69.077,0.0319999999999965,"table42","S43_C"
"344","001",69.109,0.0330000000000013,"S43_C","table42"
"345","001",69.242,0.0339999999999918,"table42","S44_C"
"346","001",69.276,0.0330000000000013,"S44_C","table42"
"347","001",69.309,0.0330000000000013,"table42","S44_C"
"348","001",69.366,0.0210000000000008,"S44_C","table42"
"349","001",69.387,0.0220000000000056,"table42","chair44"
"350","001",69.409,0.0249999999999915,"chair44","S44_C"
"351","001",69.477,0.0210000000000008,"S44_C","backwall2"
"352","001",69.498,0.0219999999999914,"backwall2","S44_C"
"353","001",69.611,0.0240000000000009,"S44_C","backwall3"
"354","001",69.635,0.0219999999999914,"backwall3","backcabin2"
"355","001",69.679,0.0219999999999914,"backcabin2","S35_C"
"356","001",69.701,0.0230000000000103,"S35_C","backwall1"
"357","001",69.747,0.0220000000000056,"backwall1","S35_C"
"358","001",69.861,0.0229999999999961,"S35_C","backwall1"
"359","001",69.907,0.0220000000000056,"backwall1","S35_C"
"360","001",70.465,0.0339999999999918,"S35_C","FloorLeftSide"
"361","001",70.499,0.100000000000009,"FloorLeftSide","S34_C"
"362","001",70.599,0.0339999999999918,"S34_C","SM_Heizkörper2_81"
"363","001",70.633,0.0320000000000107,"SM_Heizkörper2_81","table31"
"364","001",70.665,0.0339999999999918,"table31","leftwall"
"365","001",70.699,0.034000000000006,"leftwall","window2"
"366","001",70.733,0.0330000000000013,"window2","leftwall"
"367","001",70.8,0.0330000000000013,"leftwall","leftwall_3"
"368","001",70.833,0.0330000000000013,"leftwall_3","window1"
"369","001",70.866,0.034000000000006,"window1","leftwall_5"
"370","001",70.9,0.0319999999999965,"leftwall_5","SM_Blackboard_Schiene_low_99"
"371","001",70.932,0.0339999999999918,"SM_Blackboard_Schiene_low_99","FrontWall"
"372","001",70.999,0.0220000000000056,"FrontWall","leftwall_5"
"373","001",71.088,0.0220000000000056,"leftwall_5","leftwall"
"374","001",71.243,0.0210000000000008,"leftwall","S14_C"
"375","001",71.264,0.0230000000000103,"S14_C","SM_Blackboard_Tafel_unten_low_101"
"376","001",71.287,0.0219999999999914,"SM_Blackboard_Tafel_unten_low_101","FrontWall"
"377","001",71.309,0.0460000000000065,"FrontWall","Screen_95"
"378","001",71.355,0.019999999999996,"Screen_95","CartoonTeacher"
"379","001",71.375,0.0229999999999961,"CartoonTeacher","Screen_95"
"380","001",71.578,0.0219999999999914,"Screen_95","CartoonTeacher"
"381","001",71.625,0.0229999999999961,"CartoonTeacher","Screen_95"
"382","001",71.669,0.0240000000000009,"Screen_95","CartoonTeacher"
"383","001",71.693,0.0910000000000082,"CartoonTeacher","Screen_95"
"384","001",71.809,0.0229999999999961,"Screen_95","CartoonTeacher"
"385","001",71.832,0.0240000000000009,"CartoonTeacher","FrontWall"
"386","001",72.064,0.110000000000014,"FrontWall","S16_C"
"387","001",72.509,0.0220000000000056,"S16_C","frontcabin"
"388","001",72.597,0.0220000000000056,"frontcabin","table14"
"389","001",72.619,0.0240000000000009,"table14","chair17"
"390","001",72.687,0.0220000000000056,"chair17","frontcabin"
"391","001",72.887,0.0889999999999986,"frontcabin","S16_C"
"392","001",72.998,0.0210000000000008,"S16_C","Screen_95"
"393","001",73.22,0.0220000000000056,"Screen_95","CartoonTeacher"
"394","001",73.31,0.0219999999999914,"CartoonTeacher","Screen_95"
"395","001",73.532,0.0220000000000056,"Screen_95","CartoonTeacher"
"396","001",73.554,0.0219999999999914,"CartoonTeacher","Screen_95"
"397","001",73.598,0.0220000000000056,"Screen_95","CartoonTeacher"
